Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
-0.028916+0.021145j	-0.005915+0.044200j	0.000056-0.001348j	-0.000564+0.003869j	0.000374-0.001523j	-0.008153+0.041576j	-0.001060+0.000317j	0.545318	 0.000234+0.005671j	-0.001795+0.001178j	0.043366+0.156751j	0.054999+0.234663j	0.001029+0.003552j	0.005742+0.000454j	
0.000040+0.000084j	-0.000533-0.000193j	-0.001071-0.006520j	-0.000303+0.000440j	-0.009895+0.001674j	0.000280+0.000060j	-0.004324-0.065203j	0.000234-0.005671j	0.429002	 0.002459+0.033595j	0.000821-0.000728j	-0.001793+0.002296j	-0.062334-0.010132j	0.009236-0.191553j	
-0.000436+0.000283j	0.000005-0.000037j	-0.006984+0.039959j	0.000204+0.000025j	-0.012234+0.003970j	-0.000277-0.000333j	-0.010484-0.008531j	-0.001795-0.001178j	0.002459-0.033595j	0.652341	 0.000948+0.000875j	-0.000131+0.001870j	-0.107517+0.345010j	-0.069952-0.046423j	
-0.006547-0.029123j	-0.016162-0.008803j	0.000300-0.000046j	-0.005759+0.024193j	0.000225+0.000355j	-0.020974-0.012958j	-0.000093+0.000005j	0.043366-0.156751j	0.000821+0.000728j	0.000948-0.000875j	0.775037	 0.046530+0.034782j	0.001442+0.000042j	-0.000986+0.002438j	
-0.004001-0.020147j	-0.015986-0.005876j	0.000421+0.000372j	-0.003734-0.034120j	0.000984+0.000407j	-0.007379-0.004454j	0.000075+0.000163j	0.054999-0.234663j	-0.001793-0.002296j	-0.000131-0.001870j	0.046530-0.034782j	0.668086	 -0.001232+0.000396j	-0.001289+0.002447j	
-0.000051+0.000210j	-0.000169+0.000126j	-0.030076+0.002249j	0.000084+0.000169j	-0.014948-0.009075j	-0.000382+0.000070j	-0.004499-0.052607j	0.001029-0.003552j	-0.062334+0.010132j	-0.107517-0.345010j	0.001442-0.000042j	-0.001232-0.000396j	0.460586	 0.040737-0.102642j	
-0.000065-0.000274j	0.000016-0.000587j	-0.003088+0.067195j	-0.000028-0.000108j	0.000520+0.080211j	0.000279-0.001024j	-0.014238+0.006546j	0.005742-0.000454j	0.009236+0.191553j	-0.069952+0.046423j	-0.000986-0.002438j	-0.001289-0.002447j	0.040737+0.102642j	0.545881	 

state: 4.0     eng: 0.8509151173411738     s(s+1): 3.3081     ms: 1.2994
0.952541	 0.002993-0.002808j	-0.000139+0.000105j	-0.008647+0.000683j	-0.000058+0.000613j	0.001433-0.008115j	0.000464+0.000011j	-0.019778+0.024840j	-0.000190-0.001051j	-0.001114+0.000371j	0.006346+0.111296j	0.010279+0.104821j	0.000666-0.000220j	-0.000490-0.000623j	
